 , LINK, DESCRIPCIÓN, ETAPA, FECHA PUBLICACIÓN, PROYECTO CONTRATADO, ESTADO, LOCALIZACIÓN, INVERSIÓN, TIPO DESARROLLO, MUNICIPIO, COLONIA, C.P.:, SECTOR, CATEGORÍA, FECHA INICIO PROBABLE, FECHA TERMINO PROBABLE, CONSTRUCCIÓN, TERRENO, SUCURSAL, Observaciones, Clasificación, Detalles, Descripción extra
76, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193735,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
77, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193736,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
78, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193737,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
79, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193738,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
80, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193739,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
81, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193740,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
82, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193741,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
83, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193742,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
84, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193743,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
85, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193744,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
86, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193745,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
87, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193746,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
88, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193747,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
89, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193748,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
90, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193749,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
91, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193750,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
92, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193751,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
93, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193752,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
94, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193753,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
95, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193754,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
96, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193755,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
97, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193756,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
98, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193757,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
99, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193758,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
100, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193759,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
101, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193760,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
102, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193761,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
103, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193762,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
104, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193763,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
105, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193764,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
106, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193765,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
107, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193766,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
108, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193767,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
109, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193768,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
110, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193769,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
111, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193770,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
112, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193771,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
113, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193772,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
114, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193773,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
115, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193774,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
116, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193775,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
117, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193776,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
118, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193777,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
119, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193778,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
120, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193779,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
121, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193780,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
122, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193781,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
123, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193782,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
124, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193783,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
125, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193784,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
126, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193785,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
127, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193786,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
128, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193787,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
129, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193788,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
130, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193789,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
131, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193790,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
132, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193791,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
133, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193792,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
134, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193793,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
135, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193794,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
